,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
190,Hot Chocolate (Small),360,13.0,8.0,0.0,40,180,50,1,45,11
191,Hot Chocolate (Medium),440,16.0,9.0,0.5,50,220,61,1,56,14
192,Hot Chocolate (Large),540,20.0,12.0,0.5,60,280,73,1,68,17
193,Hot Chocolate with Nonfat Milk (Small),280,3.5,2.0,0.0,15,180,50,1,46,12
194,Hot Chocolate with Nonfat Milk (Medium),340,3.5,2.0,0.0,15,220,61,1,57,14
195,Hot Chocolate with Nonfat Milk (Large),400,3.5,2.5,0.0,20,280,74,1,69,19
196,Regular Iced Coffee (Small),140,4.5,3.0,0.0,15,35,23,0,22,1
197,Regular Iced Coffee (Medium),190,7.0,4.5,0.0,25,50,31,0,30,1
198,Regular Iced Coffee (Large),270,9.0,6.0,0.0,35,75,47,0,45,2
199,Caramel Iced Coffee (Small),130,4.5,3.0,0.0,15,35,22,0,21,1
200,Caramel Iced Coffee (Medium),180,7.0,4.5,0.0,25,50,29,0,28,1
201,Caramel Iced Coffee (Large),260,9.0,6.0,0.0,35,65,43,0,42,2
202,Hazelnut Iced Coffee (Small),130,4.5,3.0,0.0,15,35,21,0,20,1
203,Hazelnut Iced Coffee (Medium),180,7.0,4.5,0.0,25,50,29,0,28,1
204,Hazelnut Iced Coffee (Large),250,9.0,6.0,0.0,35,75,43,0,41,2
205,French Vanilla Iced Coffee (Small),120,4.5,3.0,0.0,15,40,20,0,19,1
206,French Vanilla Iced Coffee (Medium),170,7.0,4.5,0.0,25,55,27,0,26,1
207,French Vanilla Iced Coffee (Large),240,9.0,6.0,0.0,35,80,41,0,39,2
208,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,4.5,3.0,0.0,15,65,9,0,1,1
209,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,7.0,4.5,0.0,25,90,12,0,2,1
210,Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,9.0,6.0,0.0,35,135,18,0,2,2
211,Iced Mocha (Small),290,11.0,7.0,0.0,35,125,41,1,34,8
212,Iced Mocha (Medium),350,13.0,8.0,0.0,40,150,50,1,43,9
213,Iced Mocha (Large),480,16.0,10.0,0.5,50,220,70,2,62,14
214,Iced Mocha with Nonfat Milk (Small),240,5.0,3.0,0.0,20,125,41,1,35,8
215,Iced Mocha with Nonfat Milk (Medium),290,5.0,3.5,0.0,20,150,50,1,43,10
216,Iced Mocha with Nonfat Milk (Large),390,6.0,3.5,0.0,25,220,71,2,62,14
217,Iced Caramel Mocha (Small),280,11.0,7.0,0.0,35,140,38,0,33,8
218,Iced Caramel Mocha (Medium),340,13.0,7.0,0.0,40,170,46,1,41,9
219,Iced Caramel Mocha (Large),460,16.0,10.0,0.5,50,250,65,1,59,13
220,Iced Nonfat Caramel Mocha (Small),230,5.0,3.0,0.0,20,140,38,0,33,8
221,Iced Nonfat Caramel Mocha (Medium),270,5.0,3.0,0.0,20,170,47,1,41,10
